CustomerID,recency,frequenci,monitery,country,group
12346,348,1,77183.6,United Kingdom,2
12347,25,7,615.7142857,Iceland,2
12348,98,4,449.31,Finland,2
12349,41,1,1757.55,Italy,2
12350,333,1,334.4,Norway,3
12352,59,8,313.255,Norway,2
12353,227,1,89,Bahrain,3
12354,255,1,1079.4,Spain,3
12355,237,1,459.4,Bahrain,3
12356,45,3,937.1433333,Portugal,2
12357,56,1,6207.67,Switzerland,2
12358,24,2,584.03,Austria,2
12359,80,4,1593.145,Cyprus,2
12360,75,3,887.3533333,Austria,2
12361,310,1,189.9,Belgium,3
12362,26,10,522.623,Belgium,2
12363,132,2,276,Unspecified,4
12364,30,4,328.275,Belgium,2
12365,314,2,320.69,Cyprus,3
12367,27,1,168.9,Denmark,4
12370,74,4,886.4225,Cyprus,2
12371,67,2,943.98,Switzerland,2
12372,94,3,432.68,Denmark,2
12373,334,1,364.6,Austria,3
12374,48,1,742.93,Austria,2
12375,33,2,228.75,Finland,4
12377,338,2,814.06,Switzerland,3
12378,152,1,4008.62,Switzerland,2
12379,104,2,426.12,Belgium,2
12380,44,4,681.2025,Belgium,2
12381,27,5,369.062,Norway,2
12383,207,5,370.112,Belgium,3
12384,51,2,292.635,Switzerland,4
12386,360,2,200.95,Australia,3
12388,38,6,463.4433333,Australia,2
12390,102,1,549.84,Belgium,2
12391,44,1,460.89,Cyprus,2
12393,95,4,395.65,Australia,2
12394,86,2,636.24,Denmark,2
12395,42,12,251.5525,Belgium,4
12397,58,2,1204.95,Belgium,2
12398,68,1,1635.66,Switzerland,2
12399,142,4,277.1625,Belgium,4
12401,326,1,84.3,Belgium,3
12402,346,1,225.6,Belgium,3
12403,72,1,427.7,Denmark,2
12405,171,1,1710.39,Finland,2
12406,45,2,1707.65,Denmark,2
12407,72,5,341.624,Belgium,2
12408,55,5,577.71,Belgium,2
12409,101,3,3690.89,Switzerland,2
12410,331,2,346.665,Switzerland,3
12412,97,3,408.96,Denmark,2
12413,89,3,252.7,France,4
12414,240,3,187.47,Austria,3
12415,47,21,5948.310952,Australia,2
12417,26,9,405.4555556,Spain,2
12418,135,1,668.58,Switzerland,2
12420,86,1,600.39,Cyprus,2
12421,38,4,201.76,Spain,4
12422,118,3,267.8533333,Switzerland,4
12423,23,8,232.41375,Belgium,4
12424,185,2,880.48,Australia,2
12425,101,1,777.2,Portugal,2
12426,217,1,582.73,Germany,3
12427,44,3,275.2666667,Germany,4
12428,48,9,884.0511111,Finland,2
12429,32,4,937.6,Denmark,2
12430,66,1,256.4,Norway,4
12431,58,15,432.4966667,Belgium,2
12432,65,5,1011.864,Norway,2
12433,23,7,1910.838571,Norway,2
12434,107,2,403.07,Australia,2
12435,102,2,3914.945,Denmark,2
